Client Name	Client Type	City	Address Line 1	Address Line 2	Postal Code	Province	Phone	Email	Fax	Country
811309 NWT LTD	company	Nakusp	"185 Donnelly's Rd, Nakusp, B.C. V0G 1R1"		 V0G 1R1	B.C.	250-265-7451			Canada
Across the Board Creations	company	Wynndel	"5030 Duck Creek Rd. Wynndel, BC V0B 2N2"		 V0B 2N2	B.C.	250.866.5757			Canada
Amec	company	Nelson	"203 – 601 Front St. Nelson, BC V1L 4B6"		 V1L 4B6	B.C.	250-354-1601			Canada
Amore's Ristorante	company	Trail	"876 Rossland AvenueTrail, BC V1R 3N3"		 V1R 3N3	B.C.		amoresristorante@shaw.ca		Canada
Applied Industrial Technologies	company	Castlegar	"2237 6Th Ave. Castlegar, BC V1N 2W1"		 V1N 2W1	B.C.				Canada
Arrow and Slocan Lakes Community Services	company	Nakusp	"205 6th Ave. NW, Nakusp B.C. V0G 1R0"		 V0G 1R0	B.C.	250-265-3318			Canada
Ashland Training	company	Castlegar	"1414 Columbia Ave. Castlegar, BC V1N 3K3"		 V1N 3K3	B.C.				Canada
ATCO  Wood Products	company	Fruitvale	"P. O. Box 460 Fruitvale, BC V0G 1L0"		 V0G 1L0	B.C.				Canada
Baillie-Grohman Wineries	company	Creston	"1140 27th Ave South, Creston, BC, V0B 1G1"		 V0B 1G1	B.C.	1-250-428-8768			Canada
Bartlett Excavating	company	Christina Lake	"1846 Highway 3, Christina Lake"			B.C.	250-447-9389	info@bartlettexcavating.com		Canada
Battersby Plumbing	company	Revelstoke	"520 W 2nd Street, Revelstoke, BC V0E 2S0"		 V0E 2S0	B.C.				Canada
"BDO Dunwoody, Cas"	company	Revelstoke	"Suite 202 - 103 East 1st Stree, Revelstoke, BC V0E 2S0"		 V0E 2S0	B.C.				Canada
Betty Fahlman Studio	company	Nakusp	"140 Alexander Road, Nakusp, B.C. V0G 1R1"		 V0G 1R1	B.C.	250-265-4636			Canada
Blue Mountain Lodge	company	Christina Lake	"81 Kingsley Road, Christina Lake"			B.C.	250-448-6238	bluemountainlodge@hotmail.com		Canada
Bon Marche Dollar Dollar	company	Nakusp	"416 Broadway, Nakusp, B.C."			B.C.	250-265-3644			Canada
Bruno Long Photography	company		N/A			B.C.				Canada
Buffalo Trails	company	Creston	"1215 Canyon St, Creston, BC V0B 1G0"		 V0B 1G0	B.C.	250-428-5730			Canada
Canadian Timberframes	company					B.C.	1-877-348-9924			Canada
Castlegar Chamber of Commerce	company	Castlegar	"1995 6 Ave, Castlegar, BC V1N 4W3"		 V1N 4W3	B.C.				Canada
Cedarpoint rentals	company	Christina Lake	Box 332 2054 Lake Dr. Christina Lake			B.C.				Canada
Central City Shoes / West Kootenay Social Enterprise Society	company	Nelson	"359 Columbia Avenue, Castlegar BC V1N 1G6 / 532 Josephine St, Nelson BC V1L 1W6"		 V1L 1W6	B.C.	250-365-0773			Canada
Chantilly Bed and Bath	company	Revelstoke	"215 MacKenzie Ave., Revelstoke, BC V0E 2S0"		 V0E 2S0	B.C.		chantilly@rctvonline.net		Canada
Cherrybrook Farms	company	Creston	"2931 Highway 3, Creston"			B.C.	250-428-3070	cmartin@cherrybrookfarms.ca		Canada
